P3-K022,PERIODIC EXCHANGE,,
P3-K011,MANUAL SELECTION MEMORY (PERIODIC),,
P1-K013,FEED MRMORY(UPPER ST -> LINE SIDE LIFTER),,
P3-K023,FIXED QUANTITY EXCHANGE,,
P3-K010,AUTO SELECTION MEMORY (PERIODIC),,
P1-K012,FEED MRMORY(UPR 1 -> UPR 2),,
P3-K033,USE SIGNAL TOWER(L2),,
P3-K013,PERIODIC CHANGE SELECTION MEMORY,,
P1-K011,FEED MRMORY(OP SIDE LIFTER -> UPPER CV),,
P3-K032,USE SIGNAL TOWER(L1),,
P3-K012,PERIODIC CHANGE SELECTION MEMORY,,
P1-K010,PARTS SET COMPLETE,,
P3-K031,USE SIGNAL TOWER(R2),,
P3-K030,USE SIGNAL TOWER(R1),,
P1-K022,FEED MRMORY(LWR 1 -> LWR 2),,
P1-K023,FEED MRMORY(LOWER ST -> OP SIDE LIFTER),,
P1-K020,LINE SIDE CASSETTE SET COMPLETE,,
P3-K024,CUT OFF,,
P1-K021,FEED MRMORY(LINE SIDE LIFTER -> LOWER CV),,
P2-V004,NORMALLY ON,,
P1-V0AE,P1-L4 COMMUNICATION ALARM,,
P1-V0A2,P1-L1 COMMUNICATION ALARM,,
P2-V005,NORMALLY OFF,,
P3-V0B2,P3-L5 COMMUNICATION ALARM,,
P3-V0AE,P3-L4 COMMUNICATION ALARM,,
P1-V0B6,P1-L6 COMMUNICATION ALARM,,
P2-V0AA,P2-L3 COMMUNICATION ALARM,,
P1-V082,L3 COMMUNICATION RESET,,
P1-V027,CPU RUN,,
P1-V081,L2 COMMUNICATION RESET,,
P1-V078,SCAN CLOCK,,
P3-V005,NORMALLY OFF,,
P2-V0BE,P2-L8 COMMUNICATION ALARM,,
P1-V0AA,P1-L3 COMMUNICATION ALARM,,
P1-V080,L1 COMMUNICATION RESET,,
P3-V0B6,P3-L6 COMMUNICATION ALARM,,
P3-V0AA,P3-L3 COMMUNICATION ALARM,,
P3-V004,NORMALLY ON,,
P1-V0B2,P1-L5 COMMUNICATION ALARM,,
P2-V0B6,P2-L6 COMMUNICATION ALARM,,
P3-V0BA,P3-L7 COMMUNICATION ALARM,,
P3-V006,START UP TIME 1 SCAN ON,,
P2-V0BA,P2-L7 COMMUNICATION ALARM,,
P1-V074,60 SECOND CLOCK,,
P1-V006,ONLY 1SCAN ON AFTER POWER ON,,
P3-V072,ONE SECOND CLOCK,,
P2-V0B2,P2-L5 COMMUNICATION ALARM,,
P1-V072,1 SECOND CLOCK,,
P1-V005,NORMALLY OFF,,
P3-V0BE,P3-L8 COMMUNICATION ALARM,,
P3-V073,TWO SECOND CLOCK,,
P2-V0A6,P2-L2 COMMUNICATION ALARM,,
P1-V073,2 SECOND CLOCK,,
P1-V004,NORMALLY ON,,
P3-V0A6,P3-L2 COMMUNICATION ALARM,,
P1-V0BE,P1-L8 COMMUNICATION ALARM,,
P1-V070,0.1 SECOND CLOCK,,
P1-V003,ALARM,,
P1-V0A6,P1-L2 COMMUNICATION ALARM,,
P1-V071,0.2 SECOND CLOCK,,
P1-V002,SLIGHT ERROR,,
P3-V090,LINK 1 USE OK,,
P1-V001,SERIOUS ERROR,,
P2-V0AE,P2-L4 COMMUNICATION ALARM,,
P2-V0A2,P2-L1 COMMUNICATION ALARM,,
P3-V0A2,P3-L1 COMMUNICATION ALARM,,
P1-V0BA,P1-L7 COMMUNICATION ALARM,,
P3-T13C,CONFIRMATION END OF CYCLE R/B29,,
P3-T120,CONFIRMATION END OF CYCLE R/B1,,
P3-T0E8,R/B-9 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0BC,R/B-29 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0B6,R/B-23 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T093,DELAY ALARM DETECTION,,
P3-T08F,PM2 WORK PERMISSION BUZZER TIMER,,
P3-T054,MANUAL ACTION SW45- CYCLE TIME MEASUREMENT,,
P3-T04A,MANUAL ACTION SW35- CYCLE TIME MEASUREMENT,,
P3-T036,MANUAL ACTION SW23- CYCLE TIME MEASUREMENT,,
P3-T02A,MANUAL ACTION SW11- CYCLE TIME MEASUREMENT,,
P1-T001,MASTER ON DELAY,,
P1-T042,CASSETTE CONF. DELAY(LIFTER OPERATOR SIDE),,
P3-T13B,CONFIRMATION END OF CYCLE R/B28,,
P3-T121,CONFIRMATION END OF CYCLE R/B2,,
P3-T0E9,R/B-10 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0BB,R/B-28 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0B9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T08E,PM1 WORK PERMISSION BUZZER TIMER,,
P3-T055,MANUAL ACTION SW46- CYCLE TIME MEASUREMENT,,
P3-T049,MANUAL ACTION SW34- CYCLE TIME MEASUREMENT,,
P3-T037,MANUAL ACTION SW24- CYCLE TIME MEASUREMENT,,
P1-T08C,LOWER MOLLER START SPEED,,
P1-T084,UPPER MOLLER START SPEED,,
P1-T045,UPPER CASSETTE CONF. 3 DELAY,,
P1-T000,CPU RUN,,
P3-T13A,CONFIRMATION END OF CYCLE R/B27,,
P3-T122,CONFIRMATION END OF CYCLE R/B3,,
P3-T0C0,DURING THE TIP EXCHANGE TIME,,
P3-T0BE,R/B-31 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0B8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T089,POPUP CLOSE DELAY,,
P3-T065,MANUAL ACTION SW54- CYCLE TIME MEASUREMENT,,
P3-T056,MANUAL ACTION SW47- CYCLE TIME MEASUREMENT,,
P3-T048,MANUAL ACTION SW33- CYCLE TIME MEASUREMENT,,
P3-T034,MANUAL ACTION SW21- CYCLE TIME MEASUREMENT,,
P3-T02C,MANUAL ACTION SW13- CYCLE TIME MEASUREMENT,,
P1-T044,UPPER CASSETTE CONF. 2 DELAY,,
P3-T12D,CONFIRMATION END OF CYCLE R/B14,,
P3-T123,CONFIRMATION END OF CYCLE R/B4,,
P3-T0F9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0BD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T088,MODEL CODE 2 SETTING OUTPUT DELAY,,
P3-T064,MANUAL ACTION SW53- CYCLE TIME MEASUREMENT,,
P3-T057,MANUAL ACTION SW48- CYCLE TIME MEASUREMENT,,
P3-T035,MANUAL ACTION SW22- CYCLE TIME MEASUREMENT,,
P3-T02B,MANUAL ACTION SW12- CYCLE TIME MEASUREMENT,,
P3-T12E,CONFIRMATION END OF CYCLE R/B15,,
P3-T0FE,R/B-231 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0F8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AA,R/B-11 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T067,MANUAL ACTION SW56- CYCLE TIME MEASUREMENT,,
P3-T050,MANUAL ACTION SW41- CYCLE TIME MEASUREMENT,,
P3-T047,MANUAL ACTION SW32- CYCLE TIME MEASUREMENT,,
P3-T032,MANUAL ACTION SW19- CYCLE TIME MEASUREMENT,,
P3-T02E,MANUAL ACTION SW15- CYCLE TIME MEASUREMENT,,
P1-T054,LOWER CASSETTE CONF. 2 DELAY,,
P1-T046,CASSETTE CONF. DELAY(LIFTER LINE SIDE),,
P2-T1FF,EDC Quality/Health Tools Batch 2 Interval Time,,
P3-T1FF,CYCLE TIME MEASUREMENT (PROCESS),,
P3-T12F,CONFIRMATION END OF CYCLE R/B16,,
P3-T0FD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0E4,R/B-5 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0BF,R/B-32 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0AB,R/B-12 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T06E,MANUAL ACTION SW63- CYCLE TIME MEASUREMENT,,
P3-T066,MANUAL ACTION SW55- CYCLE TIME MEASUREMENT,,
P3-T051,MANUAL ACTION SW42- CYCLE TIME MEASUREMENT,,
P3-T046,MANUAL ACTION SW31- CYCLE TIME MEASUREMENT,,
P3-T033,MANUAL ACTION SW20- CYCLE TIME MEASUREMENT,,
P3-T02D,MANUAL ACTION SW14- CYCLE TIME MEASUREMENT,,
P3-T021,MANUAL ACTION SW2- CYCLE TIME MEASUREMENT,,
P1-T080,OP SIDE LIFTER MOLLER START SPEED,,
P1-T055,LOWER CASSETTE CONF. 3 DELAY,,
P2-T1FE,EDC Quality/Health Tools Batch 1 Interval Time,,
P3-T139,CONFIRMATION END OF CYCLE R/B26,,
P3-T0E5,R/B-6 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
